# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Gross Wing B (T + D),0,MLEIZEOZLS,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,21,33
# x,y,z,u,w
1.159086061466651245e+03, 1.050000000000000142e+02, 3.131713700169485470e+00, 1.600000000000000089e+00, 3.871500000000000163e+00
1.214756771403401444e+03, 1.050000000000000142e+02, 0.000000000000000000e+00, 1.600000000000000089e+00, 4.000000000000000000e+00
1.201675695204535486e+03, 1.400000000000000000e+02, 0.000000000000000000e+00, 1.800000000000000044e+00, 0.000000000000000000e+00
1.153547629682724391e+03, 1.400000000000000000e+02, -2.707407940882272435e+00, 1.800000000000000044e+00, 1.285000000000000031e-01
1.105400996282667620e+03, 1.400000000000000000e+02, -5.054994153833629156e+00, 1.800000000000000044e+00, 2.530000000000000027e-01
1.057238366734580268e+03, 1.400000000000000000e+02, -7.042308523727893288e+00, 1.800000000000000044e+00, 3.775000000000000022e-01
1.009062312768677089e+03, 1.400000000000000000e+02, -8.668900935438886179e+00, 1.800000000000000044e+00, 5.020000000000000018e-01
9.608752550683544769e+02, 1.400000000000000000e+02, -9.934368448538787533e+00, 1.800000000000000044e+00, 6.265000000000000568e-01
9.126798497022112997e+02, 1.400000000000000000e+02, -1.083849116484142172e+01, 1.800000000000000044e+00, 7.510000000000000009e-01
8.644790214782657358e+02, 1.400000000000000000e+02, -1.138109353258306555e+01, 1.800000000000000044e+00, 8.754999999999999449e-01
